Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Population,Electors/Électeurs,Polling Stations/Bureaux de scrutin,Valid Ballots/Bulletins valides,Percentage of Valid Ballots /Pourcentage des bulletins valides,Rejected Ballots/Bulletins rejetés,Percentage of Rejected Ballots /Pourcentage des bulletins rejetés,Total Ballots Cast/Total des bulletins déposés,Percentage of Voter Turnout/Pourcentage de la participation électorale,Elected Candidate/Candidat élu,Party/Parti,Party Code
Manitoba,Winnipeg Centre/Winnipeg-Centre,46011,85949,57993,179,29749,98.8,365,1.2,30114,51.9,Leah Gazan,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
Manitoba,Winnipeg North/Winnipeg-Nord,46012,95676,62808,175,31408,99.1,287,.9,31695,50.5,Kevin Lamoureux,Liberal/Libéral,LIB
Manitoba,Winnipeg South/Winnipeg-Sud,46013,99678,70250,180,47245,99.3,346,.7,47591,67.7,Terry Duguid,Liberal/Libéral,LIB
Manitoba,Winnipeg South Centre/Winnipeg-Centre-Sud,46014,93053,70592,199,48771,99.3,364,.7,49135,69.6,Jim Carr,Liberal/Libéral,LIB
Saskatchewan,Battlefords--Lloydminster,47001,73506,51150,135,31048,99.4,182,.6,31230,61.1,Rosemarie Falk,Conservative/Conservateur,CPC
Saskatchewan,Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek,47004,80662,59577,189,41089,99.5,189,.5,41278,69.3,Kelly Block,Conservative/Conservateur,CPC
Saskatchewan,Cypress Hills--Grasslands,47002,68353,50254,180,34277,99.6,145,.4,34422,68.5,Jeremy Patzer,Conservative/Conservateur,CPC
Saskatchewan,Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill,47003,70891,47426,154,20574,99.4,127,.6,20701,43.6,Gary Vidal,Conservative/Conservateur,CPC
Saskatchewan,Moose Jaw--Lake Centre--Lanigan,47005,79733,59868,199,41184,99.5,206,.5,41390,69.1,Fraser Tolmie,Conservative/Conservateur,CPC
Saskatchewan,Prince Albert,47006,79625,58142,196,34425,99.5,161,.5,34586,59.5,Randy Hoback,Conservative/Conservateur,CPC
Saskatchewan,Regina--Lewvan,47007,92426,68410,214,45643,99.6,179,.4,45822,67,Warren Steinley,Conservative/Conservateur,CPC
Saskatchewan,Regina--Qu'Appelle,47008,76017,55938,177,32959,99.2,254,.8,33213,59.4,Andrew Scheer,Conservative/Conservateur,CPC
Saskatchewan,Regina--Wascana,47009,84153,61030,173,38600,99.3,291,.7,38891,63.7,Michael Kram,Conservative/Conservateur,CPC
Saskatchewan,Saskatoon West/Saskatoon-Ouest,47012,83711,61520,166,33906,99.2,284,.8,34190,55.6,Brad Redekopp,Conservative/Conservateur,CPC
Saskatchewan,Saskatoon--Grasswood,47010,82946,67231,193,45604,99.3,303,.7,45907,68.3,Kevin Waugh,Conservative/Conservateur,CPC
Saskatchewan,Saskatoon--University,47011,82663,62575,169,42517,99.3,294,.7,42811,68.4,Corey Tochor,Conservative/Conservateur,CPC
Saskatchewan,Souris--Moose Mountain,47013,72635,51918,213,39340,99.3,285,.7,39625,76.3,Robert Kitchen,Conservative/Conservateur,CPC
Saskatchewan,Yorkton--Melville,47014,71031,53136,194,34658,99.5,189,.5,34847,65.6,Cathay Wagantall,Conservative/Conservateur,CPC
Alberta,Banff--Airdrie,48001,135762,112509,298,76988,99.5,396,.5,77384,68.8,Blake Richards,Conservative/Conservateur,CPC
Alberta,Battle River--Crowfoot,48002,110223,82090,250,58660,99.6,260,.4,58920,71.8,Damien Kurek,Conservative/Conservateur,CPC
Alberta,Bow River,48003,115022,82243,222,51138,99.4,300,.6,51438,62.5,Martin Shields,Conservative/Conservateur,CPC
Alberta,Calgary Centre/Calgary-Centre,48004,119176,95190,226,59208,99.1,509,.9,59717,62.7,Greg McLean,Conservative/Conservateur,CPC
Alberta,Calgary Confederation,48005,122023,91983,258,61631,99.4,369,.6,62000,67.4,Len Webber,Conservative/Conservateur,CPC
Alberta,Calgary Forest Lawn,48006,111830,73174,200,34648,98.7,442,1.3,35090,48,Jasraj Singh Hallan,Conservative/Conservateur,CPC
Alberta,Calgary Heritage,48007,112087,81375,198,53542,99.4,313,.6,53855,66.2,Bob Benzen,Conservative/Conservateur,CPC
Alberta,Calgary Midnapore,48008,121844,95798,244,64530,99.5,355,.5,64885,67.7,Stephanie Kusie,Conservative/Conservateur,CPC
Alberta,Calgary Nose Hill,48009,115795,83037,186,50393,99.4,321,.6,50714,61.1,Michelle Rempel Garner,Conservative/Conservateur,CPC
Alberta,Calgary Rocky Ridge,48010,131823,100354,225,66084,99.4,390,.6,66474,66.2,Pat Kelly,Conservative/Conservateur,CPC
